fem,age,height,weight,shoe,sport,veg_fruits,income
0,20,175,58,41,3,0,300
1,20,168,63,39,1,5,700
1,22,160,62,39,5,3,750
1,21,184,90,40,0,2,600
1,31,178,85,40,0,3,450
1,20,167,61,38,3,4,550
1,29,162,57.5,37,0,2,1300
0,23,185,83,43,6,1,750
0,25,184,80,43,10,1,700
0,22,191,85,43,4,2,600
0,28,186,72,43,4,2,623
0,29,176,66,42,2,9,400
1,25,157,56,36,0,1,300
0,20,187,76,44,4,2,550
0,22,182,78,44,5,3,1000
0,29,178,70,43,13,1,1300
1,20,163,55,38,1,3,600
0,32,190,90,46,1,2,500
1,27,169,56,37,1,2,600
0,27,185,85,44,10,1,1200
0,23,189,65,43,2,3,700
0,27,185,78,46,3,2,500
0,23,183,81,43,6,2,850
1,23,170,61,39,3.5,2,550
0,24,178,60,42,3,2,550
0,22,172,66,41,2,2,400
1,20,156,46,36,2,2,200
0,28,187,88,43,,2,600
0,23,175,85,43,6,10,800
1,27,168,60,38,0,1,800
1,23,158,47,38,0,1,550
1,20,167,72,40,1,8,400
0,23,186,70,44,2,1,1100
1,24,168,51,40,2,2,1200
0,24,176,67.5,42,2,0.14,850
0,20,176,63,42,3,2,500
0,25,180,76,44,4,2,800
1,19,179,,41,1,2,800
0,23,183,80,42,5,2,600
0,25,182,80,45,3,2,300
1,22,172,62,39,2,1,350
1,19,168,63,38,5,3,700
1,24,169,55,39,6,3,700
1,21,160,42,36,0,3,400
1,19,180,75,40,2,3,500
0,28,172,65,41,3,2,900
0,28,172,65,42,0,2,500
0,26,174,63,33,1,1,300
0,19,184,120,44,5,3,400
1,21,173,53,39,3,3.5,700
1,22,161,50,38,0,1,550
1,18,170,63,40,2,2,150
1,26,168,60,38,0,2,800
0,28,189,85,45,4,1,500
1,18,167,60,39,3,2,130
1,22,168,52,38,10,2,0
1,20,169,53,38,7,2,0
0,26,170,86,44,8,2,600
0,29,176,82,42,4.5,2,300
0,26,188,71,46,1.5,1,300
1,29,175,57,39,5,3,585
1,22,169,52,38,1,3,154
1,20,170,59,40,2,5,700
1,19,160,50,37,2,4,315
1,22,183,79,41.5,1.5,3,275
1,22,167,55,37.5,2,4,500
0,24,175,69,42,5,20,600
0,26,203,102,50,3,4,500
0,20,179,78,42,10,4,400
0,20,174,63,41,3,1.5,150
0,19,183,72,44,10,4,500
0,20,193,78,47,5,1,700
0,23,188,85,46,2,1,100
1,19,158,51,38,3,3,500
1,19,168,60,39,3,8,500
1,23,170,70.5,39,2,2,584
1,21,178,69,39,2,3,900
1,20,155,53,36,5,4,700
0,29,188,75,43,0.5,0.3,900
0,22,189,78,46,4,1,800
0,24,183,77,43,3,1,750
1,19,165,52,38,2,2,400
1,28,171,86,38,3,1,600
1,23,171,96,43,4,3,600
1,23,154,63,36,4,4,564
1,26,172,85,42,2,3,550
1,22,166,58,38,0,0,750
0,25,178,74,42,4,1,150
1,26,163,,38.5,0,1,1000
1,19,176,64,41,4,4,215
1,24,170,60,41,2,2,1000
1,27,175,68,40,2,3,1000
0,30,168,69,42,1.5,2,550
1,26,170,50,37,0,1,650
0,27,187,86,43,6,3,900
0,32,177,76,43,0,3,700
0,24,188,87,45,6,1,800
0,24,182,74,43,5,3,1.26
0,22,174,72,42,3,2,700
1,21,170,64,37,1,5,600
1,19,172,70,39,4,2,600
1,22,165,54,39,2.5,4.5,600
1,28,160,52,40,0,1,450
1,21,171,100,38,7,3,700
1,21,171,62,38,1,2,500
1,21,165,50,,3,1,0
0,21,170,62,42,8,1,700
0,31,180,86,43,8,3,3500
0,27,175,81,42,0,1,2000
0,24,177,77,42,8,1,600
1,27,172,62,39,2,2,500
1,27,175,60,37,2,0,750
0,28,193,78,43,8,5,643
0,25,183,73.5,42,3,3,400
1,24,180,74,42,3,2,430
1,21,171,49,38,4,2,450
1,25,158,64,39,1,1,1000
1,28,178,65,39,0,2,400
1,24,166,50,38,0,1,710
1,20,162,60,38,2,5,360
1,22,160,130,40,0.4,2,580
1,20,182,62,41,1,1,600
0,24,175,70,43,8,2,400
0,25,189,95,45,2,5,550
0,23,193,82,45,0,0.5,400
0,30,170,75,42,0.5,2,650
0,20,183,65,43,2,1,1400
1,25,163,57,38,4,2,600
1,19,168,60,35,7,3,600
1,23,160,54,39,3,4,720
1,25,169,72,40,3,5,1200
1,20,176,61,38,3,2,500
1,19,165,65,39,1,4,164
0,20,185,76,45,15,5,870
0,23,181,68,44,2,1,300
1,25,170,60,39,1,3,350
0,21,183,75,42.5,2,4,250
0,19,171,61.3,39,7,1,750
0,20,188,96,44,0,2,600
1,20,172,63,40,2,3,1000
0,26,180,70,43,3,1,1100
0,26,186,84,43,4,3,800
0,32,179,80,43,5,1,600
1,22,173,60,39.5,0,2,200
1,19,170,62,40,1.5,2,260
1,22,160,62,40,0,4,800
1,26,173,63,38,2,1,400
1,21,181,80,41,4,5,450
1,21,166,65,40,25,7,800
1,22,170,53,38,1,1,119
1,24,164,73,42,2,3,1500
1,26,170,68,39,0,1,615
1,20,158,55,35,20,2,50
1,19,179,71,41.5,15,3,200
1,24,172,60,39,4,2,400
1,19,168,67,40,0.5,2,364
1,19,167,53,39,2,2,700
1,20,178,65,43,16,3,500
1,20,171,49.5,39,0.5,3.71,350
